text,airline_sentiment
The staff was not slow.,neutral
The flight was not relaxing.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not smooth.,neutral
The food was not good.,neutral
The staff was not friendly.,neutral
The flight was not enjoyable.,neutral
The entertainment was not fine.,neutral
The staff was not the best.,neutral
The flight was not comfortable.,neutral
The food was not tasty.,neutral
The staff was not helpful.,neutral
The flight was not smooth.,neutral
The entertainment was not good.,neutral
The staff was not friendly.,neutral
text	airline_sentiment
The restroom was not clean.	negative
The flight was excellent.	positive
The staff smiled a lot.	positive
I love this airline!	positive
The staff was attentive.	positive
The flight was turbulent.	neutral
The plane was dirty.	negative
The food was average.	neutral
The staff was superb.	positive
The flight was not enjoyable.	negative
The entertainment was not bad.	neutral
The flight was stressful.	negative
The food was not bad.	neutral
The staff was attentive.	positive
The entertainment was fine.	neutral
The entertainment was not bad.	neutral
The food was not good.	negative
The flight was not bad.	neutral
The entertainment was fine.	neutral
The entertainment was fine.	neutral
The service was poor.	negative
The seats were uncomfortable.	negative
This was the worst flight ever.	negative
The food was delicious.	positive
The staff was cheerful.	positive
The flight was fine.	neutral
This was the worst flight ever.	negative
The flight was enjoyable.	positive
The food was not good.	negative
The food was cold.	negative
I hated the delay.	negative
The staff was amazing.	positive
It was an average experience.	neutral
The staff was not helpful.	negative
The food was expensive.	neutral
The flight was delayed for hours.	negative
The crew ignored my request.	negative
The flight was average.	neutral
The food was satisfactory.	neutral
The staff was not helpful.	negative
The staff was not helpful.	negative
The staff was cheerful.	positive
The plane was dirty.	negative
The flight was terrible.	negative
The flight was turbulent.	neutral
The entertainment was not bad.	neutral
The food was okay.	neutral
The service was acceptable.	positive
The flight was average.	neutral
The food was average.	neutral
The staff was not helpful.	negative
The drinks were fine.	neutral
The flight was okay.	neutral
The flight was delayed for hours.	negative
The entertainment was not bad.	neutral
The flight was not long.	neutral
The flight was terrible.	negative
The flight was not smooth.	negative
The flight was on time.	neutral
The luggage arrived late.	negative
The landing was smooth.	positive
The staff was rude.	negative
The staff smiled a lot.	positive
The staff was kind.	positive
The crew was inattentive.	negative
The flight was turbulent.	neutral
The food was expensive.	neutral
I hated the delay.	negative
The food was okay.	neutral
The staff was not helpful.	negative
The flight was fine.	neutral
Nothing special about this flight.	neutral
The service was poor.	negative
The entertainment was not bad.	neutral
The flight was turbulent.	neutral
The service was poor.	negative
The flight was fine.	neutral
The crew was friendly.	positive
The staff was very friendly.	positive
I hated the delay.	negative
The air conditioning was broken.	negative
The check-in process was smooth.	positive
I love this airline!	positive
The flight was average.	neutral
The service was acceptable.	neutral
The staff was superb.	positive
The food was average.	neutral
The entertainment was fine.	neutral
The food was cold.	negative
The entertainment was great.	positive
The flight was stressful.	negative
Nothing special about this flight.	neutral
The food was cold.	negative
The entertainment was not bad.	neutral
The service was poor.	negative
The check-in process was smooth.	positive
The entertainment was great.	positive
The staff was kind.	positive
The staff was superb.	positive
The food was average.	neutral
The landing was smooth.	positive
The service was acceptable.	neutral
I love this airline!	positive
The air conditioning was broken.	negative
The flight was turbulent.	neutral
The luggage arrived late.	negative
The flight was turbulent.	neutral
The crew was inattentive.	negative
The crew was friendly.	positive
The entertainment was great.	positive
The flight was noisy.	negative
I love this airline!	positive
The staff was attentive.	positive
The flight was not smooth.	negative
I love this airline!	positive
The flight was turbulent.	neutral
The crew was wonderful.	positive
The landing was smooth.	positive
The pilot was very professional.	positive
The flight was excellent.	positive
The staff was helpful.	positive
The entertainment was okay.	neutral
The staff was cheerful.	positive
The flight was uneventful.	neutral
The entertainment was fine.	neutral
The seats were uncomfortable.	negative
The plane was old.	neutral
The staff was polite.	positive
The seats were uncomfortable.	negative
The landing was smooth.	positive
The flight was fine.	neutral
The flight was noisy.	negative
The food was average.	neutral
The flight was not bad.	neutral
The crew was amazing!	positive
The pilot was very professional.	positive
The staff smiled a lot.	positive
The service was poor.	negative
The flight was delayed for hours.	negative
The staff was superb.	positive
The staff was rude.	negative
The luggage arrived late.	negative
The restroom was not clean.	negative
The food was cold.	negative
The flight was on time.	neutral
The air conditioning was broken.	negative
The food was bland.	negative
The flight was terrible.	negative
The flight was okay.	neutral
The entertainment was okay.	neutral
The flight was boring.	neutral
The staff was kind.	positive
The staff was superb.	positive
The pilot was very professional.	positive
The entertainment was not bad.	neutral
The flight was stressful.	negative
The staff was superb.	positive
The service was poor.	negative
The staff was superb.	positive
The flight was comfortable.	positive
The service was acceptable.	neutral
Nothing special about this flight.	neutral
The flight was not bad.	neutral
The food was not bad.	neutral
The food was not good.	negative
The food was expensive.	neutral
The flight was okay.	neutral
The flight was average.	neutral
The flight was terrible.	negative
The flight was bad.	negative
The check-in process was smooth.	positive
I love this airline!	positive
The luggage arrived late.	negative
I love this airline!	positive
I am never flying with them again.	negative
The flight was okay.	neutral
The staff was kind.	positive
The flight was noisy.	negative
The crew ignored my request.	negative
Nothing special about this flight.	neutral
The food was satisfactory.	neutral
It was an average experience.	neutral
The service was acceptable.	positive
The food was okay.	neutral
The staff was not helpful.	negative
Nothing special about this flight.	neutral
The flight was delayed for hours.	negative
The food was satisfactory.	neutral
The food was not bad.	neutral
The flight was boring.	neutral
The flight was stressful.	negative
The flight was fine.	neutral
The flight was not enjoyable.	negative
The food was delicious.	positive
The entertainment was okay.	neutral
The food was not good.	negative
The flight was not smooth.	negative
The flight was okay.	neutral
The staff was attentive.	positive
The flight was okay.	neutral
The staff was helpful.	positive
The pilot was very professional.	positive
The food was not bad.	neutral
The flight was average.	neutral
The crew was wonderful.	positive
The staff was not helpful.	negative
The service was acceptable.	positive
The flight was not enjoyable.	negative
The entertainment was fine.	neutral
The pilot was very professional.	positive
The crew ignored my request.	negative
The entertainment was fine.	neutral
The flight was bad.	negative
The staff was rude.	negative
The boarding was quick.	positive
The service was acceptable.	neutral
The staff was kind.	positive
The flight was delayed for hours.	negative
It was an average experience.	neutral
The restroom was not clean.	negative
The entertainment was not bad.	neutral
I am never flying with them again.	negative
The flight was stressful.	negative
The flight was okay.	neutral
The food was bland.	negative
The flight was not long.	neutral
The plane was old.	neutral
The service was acceptable.	positive
The flight was not bad.	neutral
The food was expensive.	neutral
Nothing special about this flight.	neutral
The food was expensive.	neutral
The flight was stressful.	negative
The staff smiled a lot.	positive
Nothing special about this flight.	neutral
The flight was not enjoyable.	negative
The flight was not long.	neutral
The staff was helpful.	positive
The drinks were fine.	neutral
The flight was enjoyable.	positive
The staff was kind.	positive
The staff was attentive.	positive
The flight was not smooth.	negative
The landing was smooth.	positive
This was the worst flight ever.	negative
I am never flying with them again.	negative
The flight was boring.	neutral
It was an average experience.	neutral
This was the worst flight ever.	negative
I love this airline!	positive
The crew was amazing!	positive
The landing was smooth.	positive
The food was not good.	negative
The landing was smooth.	positive
The staff was kind.	positive
The flight was not smooth.	negative
The service was acceptable.	neutral
I love this airline!	positive
The entertainment was great.	positive
The staff was very friendly.	positive
The food was average.	neutral
The staff was polite.	positive
The flight was average.	neutral
The flight was on time.	neutral
The crew was friendly.	positive
The entertainment was not bad.	neutral
The staff was attentive.	positive
The boarding was quick.	positive
The staff was not rude.	neutral
The staff was kind.	positive
The flight was not enjoyable.	negative
The staff was not helpful.	negative
The crew ignored my request.	negative
The flight was enjoyable.	positive
The staff was very friendly.	positive
The flight was bad.	negative
The flight was not long.	neutral
The flight was enjoyable.	positive
The restroom was not clean.	negative
The baggage was lost.	negative
The flight was noisy.	negative
The flight was on time.	neutral
The flight was not bad.	neutral
The food was not good.	negative
Nothing special about this flight.	neutral
The staff smiled a lot.	positive
The food was delicious.	positive
The staff was attentive.	positive
The entertainment was okay.	neutral
The food was not good.	negative
Nothing special about this flight.	neutral
The landing was smooth.	positive
I love this airline!	positive
The service was acceptable.	neutral
The entertainment was fine.	neutral
The staff was rude.	negative
The staff was very friendly.	positive
The drinks were fine.	neutral
The flight was terrible.	negative
The flight was not enjoyable.	negative
The crew was inattentive.	negative
The flight was on time.	neutral
The staff was not helpful.	negative
The food was delicious.	positive
The crew was wonderful.	positive
The staff was helpful.	positive
The plane was dirty.	negative
The staff was cheerful.	positive
The flight was enjoyable.	positive
The service was poor.	negative
The flight was not enjoyable.	negative
The flight was fine.	neutral
The crew was wonderful.	positive
The landing was smooth.	positive
The flight was terrible.	negative
I hated the delay.	negative
It was an average experience.	neutral
The flight was turbulent.	neutral
The flight was stressful.	negative
The service was acceptable.	positive
The luggage arrived late.	negative
The boarding was quick.	positive
The food was satisfactory.	neutral
The crew was amazing!	positive
The flight was not enjoyable.	negative
It was an average experience.	neutral
The food was expensive.	neutral
The flight was not long.	neutral
The crew was friendly.	positive
I hated the delay.	negative
The flight was turbulent.	neutral
The flight was not smooth.	negative
The flight was not long.	neutral
The plane was old.	neutral
The food was not bad.	neutral
The plane was old.	neutral
The staff was polite.	positive
The crew was friendly.	positive
The entertainment was lacking.	neutral
The staff was superb.	positive
The flight was noisy.	negative
The service was acceptable.	positive
The flight was boring.	neutral
The food was delicious.	positive
The food was cold.	negative
The food was cold.	negative
The pilot was very professional.	positive
The staff was very friendly.	positive
The seats were uncomfortable.	negative
The staff was not rude.	neutral
The flight was on time.	neutral
The pilot was very professional.	positive
The entertainment was lacking.	neutral
The food was not good.	negative
The food was average.	neutral
The flight was not long.	neutral
The food was average.	neutral
The flight was not smooth.	negative
This was the worst flight ever.	negative
The restroom was not clean.	negative
The food was okay.	neutral
The entertainment was great.	positive
The drinks were fine.	neutral
The staff was amazing.	positive
The entertainment was lacking.	neutral
The food was not bad.	neutral
The service was acceptable.	neutral
The seats were uncomfortable.	negative
The staff smiled a lot.	positive
The flight was bad.	negative
I love this airline!	positive
I am never flying with them again.	negative
The plane was old.	neutral
The drinks were fine.	neutral
The staff was attentive.	positive
The entertainment was okay.	neutral
The drinks were fine.	neutral
The staff was rude.	negative
The staff was cheerful.	positive
The flight was on time.	neutral
The food was expensive.	neutral
The flight was stressful.	negative
The food was not good.	negative
The restroom was not clean.	negative
The crew was inattentive.	negative
The service was acceptable.	positive
The flight was noisy.	negative
The restroom was not clean.	negative
The staff was rude.	negative
The plane was old.	neutral
The entertainment was lacking.	neutral
The flight was noisy.	negative
The staff was very friendly.	positive
The crew ignored my request.	negative
The staff was rude.	negative
It was an average experience.	neutral
The entertainment was fine.	neutral
The crew ignored my request.	negative
The crew ignored my request.	negative
The restroom was not clean.	negative
The food was satisfactory.	neutral
The food was not good.	negative
The service was acceptable.	positive
The check-in process was smooth.	positive
The flight was terrible.	negative
The flight was fine.	neutral
The staff was superb.	positive
The staff was rude.	negative
The entertainment was okay.	neutral
The boarding was quick.	positive
The restroom was not clean.	negative
The staff was kind.	positive
The luggage arrived late.	negative
The plane was dirty.	negative
The food was delicious.	positive
The crew was wonderful.	positive
The plane was old.	neutral
The service was acceptable.	neutral
The drinks were fine.	neutral
The flight was stressful.	negative
The drinks were fine.	neutral
The staff was not helpful.	negative
The staff was very friendly.	positive
The food was bland.	negative
The staff was amazing.	positive
The staff was cheerful.	positive
The flight was noisy.	negative
The flight was delayed for hours.	negative
I am never flying with them again.	negative
I am never flying with them again.	negative
The entertainment was fine.	neutral
The staff was cheerful.	positive
The flight was delayed for hours.	negative
The staff was not rude.	neutral
The entertainment was great.	positive
The staff smiled a lot.	positive
The staff was kind.	positive
The service was acceptable.	neutral
The food was cold.	negative
The entertainment was okay.	neutral
The plane was dirty.	negative
The plane was old.	neutral
This was the worst flight ever.	negative
The flight was terrible.	negative
The seats were uncomfortable.	negative
The plane was old.	neutral
The flight was uneventful.	neutral
The flight was terrible.	negative
The staff was amazing.	positive
The flight was comfortable.	positive
The flight was on time.	neutral
The boarding was quick.	positive
The flight was not bad.	neutral
The flight was enjoyable.	positive
The baggage was lost.	negative
It was an average experience.	neutral
The landing was smooth.	positive
The flight was excellent.	positive
The food was delicious.	positive
The flight was bad.	negative
The crew ignored my request.	negative
The plane was old.	neutral
The pilot was very professional.	positive
The drinks were fine.	neutral
The service was acceptable.	positive
The staff was polite.	positive
The flight was on time.	neutral
The flight was delayed for hours.	negative
The flight was not smooth.	negative
The food was average.	neutral
The restroom was not clean.	negative
The food was expensive.	neutral
The check-in process was smooth.	positive
The boarding was quick.	positive
The plane was dirty.	negative
The staff was helpful.	positive
The food was cold.	negative
The crew was amazing!	positive
The flight was boring.	neutral
The food was bland.	negative
The staff was attentive.	positive
The staff was very friendly.	positive
This was the worst flight ever.	negative
The check-in process was smooth.	positive
The food was average.	neutral
The food was average.	neutral
I love this airline!	positive
The flight was boring.	neutral
The luggage arrived late.	negative
I hated the delay.	negative
The flight was average.	neutral
The food was satisfactory.	neutral
The flight was excellent.	positive
The staff was amazing.	positive
The entertainment was fine.	neutral
The flight was not bad.	neutral
The staff was polite.	positive
The baggage was lost.	negative
The flight was delayed for hours.	negative
The landing was smooth.	positive
The flight was not bad.	neutral
The flight was turbulent.	neutral
I am never flying with them again.	negative
The luggage arrived late.	negative
The staff was helpful.	positive
The crew was inattentive.	negative
The staff was superb.	positive
The service was acceptable.	positive
The staff was rude.	negative
The service was acceptable.	positive
The crew was friendly.	positive
Nothing special about this flight.	neutral
The staff was polite.	positive
The food was not good.	negative
The flight was on time.	neutral
The flight was not smooth.	negative
The staff was rude.	negative
I love this airline!	positive
The food was expensive.	neutral
The seats were uncomfortable.	negative
The flight was stressful.	negative
The pilot was very professional.	positive
The service was poor.	negative
The staff was not rude.	neutral
The flight was excellent.	positive
I love this airline!	positive
The crew was amazing!	positive
The flight was noisy.	negative
The staff was not rude.	neutral
The flight was comfortable.	positive
The staff was helpful.	positive
The food was delicious.	positive
The staff was cheerful.	positive
The staff was attentive.	positive
The service was poor.	negative
The flight was comfortable.	positive
The luggage arrived late.	negative
The entertainment was lacking.	neutral
The flight was boring.	neutral
The flight was terrible.	negative
I love this airline!	positive
The staff was polite.	positive
The landing was smooth.	positive
The boarding was quick.	positive
The flight was not long.	neutral
The baggage was lost.	negative
Nothing special about this flight.	neutral
The crew was wonderful.	positive
The staff was not helpful.	negative
The flight was turbulent.	neutral
The flight was turbulent.	neutral
The staff was kind.	positive
The air conditioning was broken.	negative
The flight was boring.	neutral
The service was poor.	negative
The staff was very friendly.	positive
The flight was enjoyable.	positive
The service was acceptable.	neutral
The staff was rude.	negative
The staff was polite.	positive
The service was acceptable.	positive
The crew was inattentive.	negative
The food was average.	neutral
The crew was wonderful.	positive
The staff was polite.	positive
The flight was turbulent.	neutral
The entertainment was not bad.	neutral
The staff smiled a lot.	positive
The drinks were fine.	neutral
The service was acceptable.	neutral
The flight was not smooth.	negative
The service was acceptable.	neutral
The staff was very friendly.	positive
The flight was not enjoyable.	negative
The crew ignored my request.	negative
The food was okay.	neutral
The flight was enjoyable.	positive
The plane was old.	neutral
The food was satisfactory.	neutral
The entertainment was great.	positive
The entertainment was not bad.	neutral
The baggage was lost.	negative
The seats were uncomfortable.	negative
The crew was friendly.	positive
The flight was stressful.	negative
The seats were uncomfortable.	negative
The flight was turbulent.	neutral
The flight was enjoyable.	positive
The flight was uneventful.	neutral
The staff was polite.	positive
The entertainment was fine.	neutral
The flight was not bad.	neutral
It was an average experience.	neutral
The flight was on time.	neutral
I am never flying with them again.	negative
The entertainment was okay.	neutral
The crew was inattentive.	negative
The flight was stressful.	negative
The flight was not smooth.	negative
The service was acceptable.	neutral
I hated the delay.	negative
The flight was on time.	neutral
The flight was excellent.	positive
The flight was not bad.	neutral
The staff was helpful.	positive
The staff was superb.	positive
The food was average.	neutral
The entertainment was great.	positive
The air conditioning was broken.	negative
I am never flying with them again.	negative
The check-in process was smooth.	positive
The air conditioning was broken.	negative
The flight was on time.	neutral
The flight was not enjoyable.	negative
The staff was helpful.	positive
The crew ignored my request.	negative
The food was bland.	negative
The food was expensive.	neutral
The crew was amazing!	positive
The flight was terrible.	negative
The flight was excellent.	positive
The staff was cheerful.	positive
The flight was enjoyable.	positive
I love this airline!	positive
The staff was amazing.	positive
The food was cold.	negative
The drinks were fine.	neutral
The food was okay.	neutral
This was the worst flight ever.	negative
The baggage was lost.	negative
The check-in process was smooth.	positive
The drinks were fine.	neutral
The pilot was very professional.	positive
The flight was bad.	negative
The entertainment was great.	positive
The service was acceptable.	neutral
The food was expensive.	neutral
The staff was rude.	negative
The staff was helpful.	positive
The flight was boring.	neutral
The crew was inattentive.	negative
The drinks were fine.	neutral
The staff was kind.	positive
The staff was helpful.	positive
The flight was delayed for hours.	negative
The flight was excellent.	positive
I hated the delay.	negative
I am never flying with them again.	negative
The flight was uneventful.	neutral
The flight was not long.	neutral
The staff was superb.	positive
The crew was friendly.	positive
The staff was polite.	positive
The crew ignored my request.	negative
The restroom was not clean.	negative
The flight was boring.	neutral
The crew was amazing!	positive
The staff was superb.	positive
The flight was boring.	neutral
The staff was kind.	positive
The food was average.	neutral
The crew was amazing!	positive
The flight was turbulent.	neutral
The food was bland.	negative
The flight was noisy.	negative
The boarding was quick.	positive
The service was poor.	negative
I love this airline!	positive
The staff was superb.	positive
The service was acceptable.	neutral
The food was satisfactory.	neutral
The staff was kind.	positive
The food was not bad.	neutral
The check-in process was smooth.	positive
The staff was superb.	positive
The entertainment was okay.	neutral
The drinks were fine.	neutral
The entertainment was great.	positive
The drinks were fine.	neutral
The flight was on time.	neutral
The drinks were fine.	neutral
The flight was enjoyable.	positive
The staff was cheerful.	positive
The entertainment was lacking.	neutral
The staff was attentive.	positive
The crew ignored my request.	negative
The food was satisfactory.	neutral
The flight was on time.	neutral
The staff was amazing.	positive
The air conditioning was broken.	negative
The staff was kind.	positive
The food was expensive.	neutral
The staff was cheerful.	positive
The crew was amazing!	positive
The flight was turbulent.	neutral
The plane was dirty.	negative
The food was expensive.	neutral
The food was bland.	negative
The service was acceptable.	neutral
The flight was noisy.	negative
The pilot was very professional.	positive
The flight was delayed for hours.	negative
The staff was attentive.	positive
The entertainment was fine.	neutral
The baggage was lost.	negative
The food was average.	neutral
The landing was smooth.	positive
The flight was uneventful.	neutral
The plane was dirty.	negative
It was an average experience.	neutral
The staff was very friendly.	positive
The flight was stressful.	negative
The food was expensive.	neutral
The flight was bad.	negative
The drinks were fine.	neutral
The flight was turbulent.	neutral
I am never flying with them again.	negative
The food was delicious.	positive
I hated the delay.	negative
The staff was not rude.	neutral
The food was average.	neutral
The food was average.	neutral
This was the worst flight ever.	negative
The flight was bad.	negative
This was the worst flight ever.	negative
The flight was turbulent.	neutral
The flight was average.	neutral
The food was bland.	negative
The food was expensive.	neutral
The baggage was lost.	negative
The restroom was not clean.	negative
The flight was not smooth.	negative
The check-in process was smooth.	positive
The flight was not enjoyable.	negative
The drinks were fine.	neutral
The food was not bad.	neutral
The staff was cheerful.	positive
The flight was not enjoyable.	negative
The food was bland.	negative
I love this airline!	positive
It was an average experience.	neutral
The staff was very friendly.	positive
The flight was not bad.	neutral
The flight was boring.	neutral
The check-in process was smooth.	positive
The plane was dirty.	negative
The plane was dirty.	negative
The food was bland.	negative
The staff was cheerful.	positive
The staff was helpful.	positive
The flight was boring.	neutral
The staff was not helpful.	negative
The baggage was lost.	negative
The food was cold.	negative
Nothing special about this flight.	neutral
I am never flying with them again.	negative
The flight was average.	neutral
The staff was cheerful.	positive
The staff was amazing.	positive
The flight was delayed for hours.	negative
The plane was old.	neutral
The flight was not enjoyable.	negative
Nothing special about this flight.	neutral
This was the worst flight ever.	negative
The flight was noisy.	negative
The flight was uneventful.	neutral
The staff was very friendly.	positive
The restroom was not clean.	negative
The service was acceptable.	neutral
The flight was excellent.	positive
The flight was okay.	neutral
It was an average experience.	neutral
The crew was friendly.	positive
The flight was okay.	neutral
The flight was okay.	neutral
The baggage was lost.	negative
The crew was wonderful.	positive
The staff smiled a lot.	positive
The staff was not helpful.	negative
The seats were uncomfortable.	negative
The flight was excellent.	positive
The flight was on time.	neutral
The flight was average.	neutral
The plane was dirty.	negative
The crew was inattentive.	negative
The service was acceptable.	neutral
The service was acceptable.	neutral
The boarding was quick.	positive
The crew was amazing!	positive
The flight was uneventful.	neutral
The food was cold.	negative
It was an average experience.	neutral
The flight was fine.	neutral
The food was satisfactory.	neutral
The staff was not helpful.	negative
The staff was not helpful.	negative
The food was okay.	neutral
The staff was very friendly.	positive
The staff was cheerful.	positive
The air conditioning was broken.	negative
The staff was cheerful.	positive
The staff was not helpful.	negative
The pilot was very professional.	positive
The drinks were fine.	neutral
The food was expensive.	neutral
The staff was attentive.	positive
The plane was old.	neutral
The entertainment was fine.	neutral
It was an average experience.	neutral
Nothing special about this flight.	neutral
The staff was kind.	positive
The flight was not smooth.	negative
The flight was excellent.	positive
The flight was fine.	neutral
The flight was not bad.	neutral
The staff was attentive.	positive
The flight was average.	neutral
The staff was rude.	negative
The flight was enjoyable.	positive
The check-in process was smooth.	positive
The luggage arrived late.	negative
The flight was boring.	neutral
The crew ignored my request.	negative
The check-in process was smooth.	positive
The flight was not smooth.	negative
Nothing special about this flight.	neutral
The service was poor.	negative
The crew ignored my request.	negative
The flight was terrible.	negative
The entertainment was lacking.	neutral
The staff was superb.	positive
The entertainment was fine.	neutral
The staff was not helpful.	negative
The air conditioning was broken.	negative
The air conditioning was broken.	negative
The flight was enjoyable.	positive
The flight was noisy.	negative
Nothing special about this flight.	neutral
The food was delicious.	positive
The entertainment was not bad.	neutral
The flight was comfortable.	positive
The landing was smooth.	positive
The restroom was not clean.	negative
The pilot was very professional.	positive
The entertainment was great.	positive
The staff smiled a lot.	positive
The flight was noisy.	negative
The staff was not rude.	neutral
It was an average experience.	neutral
The flight was bad.	negative
The check-in process was smooth.	positive
The staff was superb.	positive
The staff was helpful.	positive
The entertainment was okay.	neutral
The flight was average.	neutral
The flight was delayed for hours.	negative
The staff was cheerful.	positive
The crew was inattentive.	negative
The flight was enjoyable.	positive
The plane was dirty.	negative
The flight was delayed for hours.	negative
The entertainment was okay.	neutral
The plane was old.	neutral
The staff was very friendly.	positive
The pilot was very professional.	positive
The boarding was quick.	positive
The flight was fine.	neutral
This was the worst flight ever.	negative
The flight was not smooth.	negative
The flight was not smooth.	negative
The flight was comfortable.	positive
The boarding was quick.	positive
The food was not good.	negative
The staff was polite.	positive
The staff was rude.	negative
The flight was noisy.	negative
The staff was polite.	positive
The staff was superb.	positive
The staff was amazing.	positive
The service was acceptable.	neutral
The crew was amazing!	positive
The flight was not bad.	neutral
The flight was not enjoyable.	negative
The plane was old.	neutral
This was the worst flight ever.	negative
